region,h,config,n,rmse,rmse_25plus
여수,3,기온+풍속+강수|스냅샷,222,0.8066992140083182,0.8893875835186642
여수,3,기온+풍속+강수|패턴,222,0.8631976168189687,0.9974324287555142
여수,4,지속성(오늘값 유지),221,1.0669659271001863,1.2628067354365153
여수,4,수온만|스냅샷,221,1.000217779274768,1.1894632881002667
여수,4,수온만|패턴,221,1.0000070592427814,1.178487296096337
여수,4,기온|스냅샷,221,0.9734945857716656,1.1058755174022508
여수,4,기온|패턴,221,0.9961307668749885,1.1907225484165664
여수,4,기온+풍속|스냅샷,221,0.9691631876360377,1.1023664324029323
여수,4,기온+풍속|패턴,221,1.0541089968844468,1.291618462576853
여수,4,기온+풍속+강수|스냅샷,221,0.9691958263367076,1.1023821231510378
여수,4,기온+풍속+강수|패턴,221,1.053137118077426,1.2632510266907295
여수,5,지속성(오늘값 유지),220,1.2040462087176194,1.4549877138009886
여수,5,수온만|스냅샷,220,1.1220737779742305,1.3820140065806117
여수,5,수온만|패턴,220,1.1231824345954442,1.3798684794280327
여수,5,기온|스냅샷,220,1.0977228622268478,1.297076552496445
여수,5,기온|패턴,220,1.1493450839499322,1.4229992909477973
여수,5,기온+풍속|스냅샷,220,1.0932863155580141,1.291775990608048
여수,5,기온+풍속|패턴,220,1.2253203157236288,1.5538918877704455
여수,5,기온+풍속+강수|스냅샷,220,1.094181085168271,1.2923513213800704
여수,5,기온+풍속+강수|패턴,220,1.227443579155299,1.53072831488406
여수,6,지속성(오늘값 유지),219,1.325306891314002,1.6154163217180635
여수,6,수온만|스냅샷,219,1.227553282236073,1.5305938940462056
여수,6,수온만|패턴,219,1.2297640568457513,1.5326255195807486
여수,6,기온|스냅샷,219,1.2083931026437658,1.4537288344981405
여수,6,기온|패턴,219,1.2887164333494923,1.6125017270904087
여수,6,기온+풍속|스냅샷,219,1.2100126952600547,1.4520697182322502
여수,6,기온+풍속|패턴,219,1.3872641888545565,1.7769387111226242
여수,6,기온+풍속+강수|스냅샷,219,1.2098473920469228,1.451873569986178
여수,6,기온+풍속+강수|패턴,219,1.3978730976715315,1.7600911688307082
여수,7,지속성(오늘값 유지),218,1.433303107568367,1.7739755486792452
여수,7,수온만|스냅샷,218,1.317764470604031,1.6725457582277627
여수,7,수온만|패턴,218,1.320970012132306,1.6755533156813447
여수,7,기온|스냅샷,218,1.3034408559675321,1.614702744542941
여수,7,기온|패턴,218,1.4009558234042303,1.7807562996213804
여수,7,기온+풍속|스냅샷,218,1.3192864178489905,1.6261377063420583
여수,7,기온+풍속|패턴,218,1.5357220094041113,1.9940424814091908
여수,7,기온+풍속+강수|스냅샷,218,1.3170113772384047,1.6232050312072017
여수,7,기온+풍속+강수|패턴,218,1.5674522523759866,1.9998945615759525
통영,1,지속성(오늘값 유지),230,0.5329572949691838,0.5412177627043171
